Province	Wave	n	Population_size	n_per_100000
Phetchaburi	1st wave	2	482193	0.414771678560245
Phetchaburi	2nd wave	47	482193	9.74713444616575
Phetchaburi	3rd wave	9084	482193	1883.89296402063
Phetchaburi	4th wave	15419	482193	3197.68225586021
Phetchaburi	5th wave	20233	482193	4196.03768615471
Phichit	1st wave	NA	NA	NA
Phichit	2nd wave	9	532310	1.69074411527118
Phichit	3rd wave	211	532310	39.6385564802465
Phichit	4th wave	5244	532310	985.140237831339
Phichit	5th wave	5997	532310	1126.59916214236
Phitsanulok	1st wave	6	849481	0.70631361972781
Phitsanulok	2nd wave	1	849481	0.117718936621302
Phitsanulok	3rd wave	455	849481	53.5621161626923
Phitsanulok	4th wave	9307	849481	1095.61014313446
Phitsanulok	5th wave	21080	849481	2481.51518397704
Phra Nakhon Si Ayutthaya	1st wave	4	819088	0.488348016330358
Phra Nakhon Si Ayutthaya	2nd wave	55	819088	6.71478522454242
Phra Nakhon Si Ayutthaya	3rd wave	3011	819088	367.603969292677
Phra Nakhon Si Ayutthaya	4th wave	31015	819088	3786.52843162151
Phra Nakhon Si Ayutthaya	5th wave	36121	819088	4409.90467446721
Phrae	1st wave	1	437350	0.228649822796387
Phrae	2nd wave	NA	NA	NA
Phrae	3rd wave	119	437350	27.2093289127701
Phrae	4th wave	2011	437350	459.814793643535
Phrae	5th wave	9486	437350	2168.97221904653
Phuket	1st wave	223	414471	53.8035230450381
Phuket	2nd wave	3	414471	0.723814211368226
Phuket	3rd wave	745	414471	179.747195823109
Phuket	4th wave	19415	414471	4684.28430457137
Phuket	5th wave	53320	414471	12864.5912500513
Prachin Buri	1st wave	9	493670	1.82308019527215
Prachin Buri	2nd wave	9	493670	1.82308019527215
Prachin Buri	3rd wave	864	493670	175.015698746126
Prachin Buri	4th wave	26099	493670	5286.73000182308
Prachin Buri	5th wave	25506	493670	5166.60927340126
Prachuap Khiri Khan	1st wave	15	550678	2.72391488310773
Prachuap Khiri Khan	2nd wave	2	550678	0.363188651081031
Prachuap Khiri Khan	3rd wave	2817	550678	511.551215047632
Prachuap Khiri Khan	4th wave	18014	550678	3271.24018028685
Prachuap Khiri Khan	5th wave	24203	550678	4395.1274610571
Ranong	1st wave	NA	NA	NA
Ranong	2nd wave	1	194372	0.514477393863314
Ranong	3rd wave	1481	194372	761.941020311568
Ranong	4th wave	8591	194372	4419.87529067973
Ranong	5th wave	10765	194372	5538.34914493857
Ratchaburi	1st wave	7	869313	0.805233557993496
Ratchaburi	2nd wave	32	869313	3.68106769368455
Ratchaburi	3rd wave	1750	869313	201.308389498374
Ratchaburi	4th wave	43623	869313	5018.10050005004
Ratchaburi	5th wave	41566	869313	4781.47686736538
Rayong	1st wave	6	741524	0.809144410700126
Rayong	2nd wave	596	741524	80.3750114628791
Rayong	3rd wave	1927	741524	259.870213236524
Rayong	4th wave	44740	741524	6033.52015578727
Rayong	5th wave	43008	741524	5799.9471358985
Roi Et	1st wave	3	1298640	0.231010903714655
Roi Et	2nd wave	1	1298640	0.0770036345715518
Roi Et	3rd wave	499	1298640	38.4248136512043
Roi Et	4th wave	14444	1298640	1112.24049775149
Roi Et	5th wave	41231	1298640	3174.93685701965
Sa Kaeo	1st wave	10	560925	1.78276953246869
Sa Kaeo	2nd wave	5	560925	0.891384766234345
Sa Kaeo	3rd wave	1567	560925	279.359985737844
Sa Kaeo	4th wave	18392	560925	3278.86972411642
Sa Kaeo	5th wave	19901	560925	3547.88964656594
Sakon Nakhon	1st wave	1	1146936	0.0871888230903904
Sakon Nakhon	2nd wave	NA	NA	NA
Sakon Nakhon	3rd wave	284	1146936	24.7616257576709
Sakon Nakhon	4th wave	7850	1146936	684.432261259565
Sakon Nakhon	5th wave	21288	1146936	1856.07566594823
Samut Prakan	1st wave	122	1351479	9.02714729566645
Samut Prakan	2nd wave	454	1351479	33.5928268215784
Samut Prakan	3rd wave	19358	1351479	1432.35669958616
Samut Prakan	4th wave	116158	1351479	8594.88012762314
Samut Prakan	5th wave	109441	1351479	8097.86907528715
Samut Sakhon	1st wave	14	586199	2.38826746548527
Samut Sakhon	2nd wave	16089	586199	2744.63108944232
Samut Sakhon	3rd wave	9858	586199	1681.68147676813
Samut Sakhon	4th wave	85542	586199	14592.6553951815
Samut Sakhon	5th wave	59167	586199	10093.3300807405
Samut Songkhram	1st wave	1	192052	0.520692312498698
Samut Songkhram	2nd wave	71	192052	36.9691541874076
Samut Songkhram	3rd wave	743	192052	386.874388186533
Samut Songkhram	4th wave	11293	192052	5880.1782850478
Samut Songkhram	5th wave	13737	192052	7152.75029679462
Saraburi	1st wave	5	643828	0.776604931751959
Saraburi	2nd wave	18	643828	2.79577775430705
Saraburi	3rd wave	2080	643828	323.067651608815
Saraburi	4th wave	32612	643828	5065.32800685897
Saraburi	5th wave	19794	643828	3074.42360381965
Satun	1st wave	18	324098	5.5538756795784
Satun	2nd wave	6	324098	1.8512918931928
Satun	3rd wave	180	324098	55.538756795784
Satun	4th wave	8791	324098	2712.45117217632
Satun	5th wave	10714	324098	3305.79022394461
Si Sa Ket	1st wave	8	1458580	0.548478657324247
Si Sa Ket	2nd wave	NA	NA	NA
Si Sa Ket	3rd wave	662	1458580	45.3866088935814
Si Sa Ket	4th wave	19239	1458580	1319.02261103265
Si Sa Ket	5th wave	30764	1458580	2109.17467674039
Sing Buri	1st wave	NA	NA	NA
Sing Buri	2nd wave	16	205898	7.7708379877415
Sing Buri	3rd wave	190	205898	92.2787011044304
Sing Buri	4th wave	3384	205898	1643.53223440733
Sing Buri	5th wave	8446	205898	4102.03110277905
Songkhla	1st wave	131	1428609	9.16975883534263
Songkhla	2nd wave	13	1428609	0.909976067629421
Songkhla	3rd wave	6927	1428609	484.877247728385
Songkhla	4th wave	60764	1428609	4253.36813641801
Songkhla	5th wave	36808	1428609	2576.49223825413
Sukhothai	1st wave	3	587883	0.510305622037038
Sukhothai	2nd wave	1	587883	0.170101874012346
Sukhothai	3rd wave	217	587883	36.9121066606791
Sukhothai	4th wave	6356	587883	1081.16751122247
Sukhothai	5th wave	15984	587883	2718.90835421334
Suphan Buri	1st wave	6	838628	0.715454289625436
Suphan Buri	2nd wave	18	838628	2.14636286887631
Suphan Buri	3rd wave	944	838628	112.564808234402
Suphan Buri	4th wave	15799	838628	1883.91038696538
Suphan Buri	5th wave	34422	838628	4104.56125958113
Surat Thani	1st wave	18	1067726	1.68582576428784
Surat Thani	2nd wave	11	1067726	1.03022685595368
Surat Thani	3rd wave	2071	1067726	193.963619880007
Surat Thani	4th wave	26745	1067726	2504.85611477102
Surat Thani	5th wave	20364	1067726	1907.23088133098
Surin	1st wave	9	1378221	0.653015735502506
Surin	2nd wave	5	1378221	0.362786519723615
Surin	3rd wave	444	1378221	32.215442951457
Surin	4th wave	18825	1378221	1365.89124675941
Surin	5th wave	33200	1378221	2408.9024909648
Tak	1st wave	3	670265	0.447584164472261
Tak	2nd wave	240	670265	35.8067331577809
Tak	3rd wave	1429	670265	213.199257010287
Tak	4th wave	24666	670265	3680.03700029093
Tak	5th wave	12094	670265	1804.36096170917
Trang	1st wave	7	640574	1.09276992197623
Trang	2nd wave	5	640574	0.780549944268734
Trang	3rd wave	1694	640574	264.450321118247
Trang	4th wave	16582	640574	2588.61583517283
Trang	5th wave	10229	640574	1596.84907598498
Trat	1st wave	NA	NA	NA
Trat	2nd wave	33	228536	14.4397381594147
Trat	3rd wave	297	228536	129.957643434732
Trat	4th wave	9103	228536	3983.1798928834
Trat	5th wave	9695	228536	4242.22004410684
Ubon Ratchathani	1st wave	15	1866697	0.803558370747904
